"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","loss"
"1",2000,1000,"adam",10,1024,"cuda",TRUE,2000,16,FALSE,0.285262823104858,1.05193829536438,1.23046779632568,1.40059781074524,1.56337189674377,1.72426962852478,1.88747429847717,2.05904841423035,2.22691702842712,2.39884185791016,946.704650878906
"2",2000,1000,"sgd",10,1024,"cuda",TRUE,2000,16,FALSE,0.211958169937134,0.83302640914917,0.914575576782227,0.997104406356812,1.07732510566711,1.15322971343994,1.24735617637634,1.30500435829163,1.38045811653137,1.45731902122498,947.464111328125
"3",2000,1000,"adam",10,128,"cuda",TRUE,2000,16,FALSE,1.77679467201233,2.82373428344727,3.84100747108459,4.86033749580383,5.87765550613403,6.96225881576538,8.06341624259949,9.13378167152405,10.2650618553162,11.37344622612,1032.5283203125
"4",2000,1000,"sgd",10,128,"cuda",TRUE,2000,16,FALSE,0.911362171173096,1.0522518157959,1.21771168708801,1.37136483192444,1.51899838447571,1.66101574897766,1.7963387966156,1.94770503044128,2.11346411705017,2.25413966178894,1061.30151367188
"5",2000,1000,"adam",10,16,"cuda",TRUE,2000,16,FALSE,9.18080878257751,17.802371263504,26.0248863697052,33.9744937419891,42.0832257270813,49.9535381793976,57.7113354206085,65.6132287979126,73.4311895370483,81.3669383525848,689.584716796875
"6",2000,1000,"sgd",10,16,"cuda",TRUE,2000,16,FALSE,1.74209260940552,2.71013283729553,3.63986539840698,4.49004316329956,5.35460019111633,6.21226644515991,7.24216198921204,8.16186499595642,9.0070161819458,9.8314642906189,695.658203125
"7",2000,1000,"adam",10,1024,"cuda",FALSE,2000,16,FALSE,0.194798707962036,0.447784900665283,0.601813077926636,0.833364725112915,0.983334302902222,1.21020650863647,1.35919308662415,1.58723258972168,1.73814415931702,1.96782422065735,947.423034667969
"8",2000,1000,"sgd",10,1024,"cuda",FALSE,2000,16,FALSE,0.110457420349121,0.180830001831055,0.257808685302734,0.475373268127441,0.537779569625854,0.609596967697144,0.791184425354004,0.85962963104248,1.05317091941833,1.11301493644714,947.464111328125
"9",2000,1000,"adam",10,128,"cuda",FALSE,2000,16,FALSE,1.07277727127075,2.10883712768555,3.10522603988647,4.15969681739807,5.21533489227295,6.27119255065918,7.24460315704346,8.29744362831116,9.35139131546021,10.4052131175995,989.791625976562
"10",2000,1000,"sgd",10,128,"cuda",FALSE,2000,16,FALSE,0.308537483215332,0.491389989852905,0.670987606048584,0.85234522819519,1.04485321044922,1.23699235916138,1.43698906898499,1.6498920917511,1.84231805801392,2.04187846183777,1061.30151367188
"11",2000,1000,"adam",10,16,"cuda",FALSE,2000,16,FALSE,9.11222434043884,17.3734836578369,25.5234277248383,33.8043706417084,41.9296255111694,50.1328933238983,58.2242267131805,66.4010207653046,74.5772325992584,82.8004853725433,327.808837890625
"12",2000,1000,"sgd",10,16,"cuda",FALSE,2000,16,FALSE,1.41635298728943,2.81998825073242,4.22549629211426,5.60472989082336,7.02322196960449,8.56544017791748,9.87143135070801,11.1995923519135,12.5341796875,13.9168872833252,695.658325195312
"13",2000,1000,"adam",10,1024,"cuda",TRUE,1000,16,FALSE,0.260547161102295,0.934372186660767,1.01221919059753,1.06399965286255,1.12526869773865,1.17652320861816,1.23573398590088,1.28968644142151,1.34735870361328,1.39721894264221,947.11279296875
"14",2000,1000,"sgd",10,1024,"cuda",TRUE,1000,16,FALSE,0.212328433990479,0.850906610488892,0.875279426574707,0.89940357208252,0.92415452003479,0.947931051254272,0.978054523468018,0.997775554656982,1.02169442176819,1.04596376419067,947.48193359375
"15",2000,1000,"adam",10,128,"cuda",TRUE,1000,16,FALSE,1.2502772808075,1.69475507736206,2.14619827270508,2.62856960296631,3.16989660263062,3.69802975654602,4.17764902114868,4.65138506889343,5.14522743225098,5.63502025604248,1054.58239746094
"16",2000,1000,"sgd",10,128,"cuda",TRUE,1000,16,FALSE,0.863687038421631,0.96776294708252,1.11812520027161,1.22703266143799,1.33668279647827,1.44298839569092,1.54968309402466,1.69783568382263,1.80331325531006,1.90888357162476,1061.201171875
"17",2000,1000,"adam",10,16,"cuda",TRUE,1000,16,FALSE,4.47175168991089,8.3237087726593,11.8988904953003,15.5685143470764,19.2973680496216,22.9915466308594,26.5632784366608,29.8598420619965,33.1715488433838,36.5761466026306,71.3684844970703
"18",2000,1000,"sgd",10,16,"cuda",TRUE,1000,16,FALSE,1.57543087005615,2.42250108718872,3.28407788276672,4.20272183418274,5.06293892860413,5.91691875457764,6.85923552513123,7.67238068580627,8.49404430389404,9.30144739151001,695.654296875
"19",2000,1000,"adam",10,1024,"cuda",FALSE,1000,16,FALSE,0.173876523971558,0.235556364059448,0.294352769851685,0.356088638305664,0.409968852996826,0.468850374221802,0.522499084472656,0.581762552261353,0.635501384735107,0.695228576660156,947.124877929688
"20",2000,1000,"sgd",10,1024,"cuda",FALSE,1000,16,FALSE,0.0858078002929688,0.114321947097778,0.142383813858032,0.170931816101074,0.199796438217163,0.228063106536865,0.256343126296997,0.291832208633423,0.312224864959717,0.334110975265503,947.48193359375
"21",2000,1000,"adam",10,128,"cuda",FALSE,1000,16,FALSE,0.576980352401733,1.03210949897766,1.50526309013367,1.96290254592896,2.42851138114929,2.89275574684143,3.36623883247375,3.84832215309143,4.30009865760803,4.75937104225159,593.432373046875
"22",2000,1000,"sgd",10,128,"cuda",FALSE,1000,16,FALSE,0.285600900650024,0.449703454971313,0.612715244293213,0.775397300720215,0.941303014755249,1.11156034469604,1.28796768188477,1.46773600578308,1.63720941543579,1.80872440338135,1061.201171875
"23",2000,1000,"adam",10,16,"cuda",FALSE,1000,16,FALSE,3.85484385490417,7.76315021514893,11.7861289978027,15.8436443805695,19.6947124004364,23.4338669776917,27.1117079257965,30.8754119873047,34.693975687027,38.3754043579102,65.9109497070312
"24",2000,1000,"sgd",10,16,"cuda",FALSE,1000,16,FALSE,1.44269704818726,2.88804984092712,4.29935812950134,5.76199150085449,7.18474507331848,8.62002062797546,9.9430525302887,11.3154644966125,12.6781852245331,14.0597317218781,695.654296875
"25",2000,1000,"adam",10,1024,"cuda",TRUE,500,16,FALSE,0.266921997070312,0.916379451751709,0.990989923477173,1.04147386550903,1.10234308242798,1.15339684486389,1.21103644371033,1.26213383674622,1.31988048553467,1.37420034408569,947.209045410156
"26",2000,1000,"sgd",10,1024,"cuda",TRUE,500,16,FALSE,0.202101707458496,0.80206823348999,0.815099954605103,0.828028440475464,0.841505289077759,0.854454040527344,0.872474193572998,0.885169506072998,0.897734403610229,0.910648345947266,947.457824707031
"27",2000,1000,"adam",10,128,"cuda",TRUE,500,16,FALSE,1.3429217338562,1.83305215835571,2.27217936515808,2.70129418373108,3.12794280052185,3.5623459815979,3.98937892913818,4.47983813285828,5.00163888931274,5.54103708267212,255.293258666992
"28",2000,1000,"sgd",10,128,"cuda",TRUE,500,16,FALSE,0.855852603912354,0.957118988037109,1.07868409156799,1.18536615371704,1.29275298118591,1.40150427818298,1.50208139419556,1.60890316963196,1.71742057800293,1.82396459579468,1061.37561035156
"29",2000,1000,"adam",10,16,"cuda",TRUE,500,16,FALSE,4.19709753990173,7.7697479724884,11.3221318721771,14.8970963954926,18.2821886539459,21.7224988937378,24.9935121536255,28.3428449630737,31.7415845394135,35.208530664444,95.2766799926758
"30",2000,1000,"sgd",10,16,"cuda",TRUE,500,16,FALSE,1.52523446083069,2.38505387306213,3.28422284126282,4.11686515808105,4.95281076431274,5.78047060966492,6.73456740379333,7.61549758911133,8.52804493904114,9.39950037002563,695.620971679688
"31",2000,1000,"adam",10,1024,"cuda",FALSE,500,16,FALSE,0.170705080032349,0.234071731567383,0.295024156570435,0.358135938644409,0.412596464157104,0.472227096557617,0.52673602104187,0.588011741638184,0.643500566482544,0.705282926559448,947.209045410156
"32",2000,1000,"sgd",10,1024,"cuda",FALSE,500,16,FALSE,0.0900633335113525,0.11516261100769,0.134666919708252,0.154639959335327,0.174182176589966,0.194070339202881,0.214328289031982,0.24020791053772,0.258434295654297,0.276124477386475,947.457824707031
"33",2000,1000,"adam",10,128,"cuda",FALSE,500,16,FALSE,0.612483263015747,1.09576082229614,1.60452270507812,2.08917260169983,2.56977987289429,3.02980661392212,3.51645445823669,3.99716973304749,4.47783017158508,4.94729661941528,469.155181884766
"34",2000,1000,"sgd",10,128,"cuda",FALSE,500,16,FALSE,0.251841068267822,0.4146888256073,0.575907945632935,0.733452320098877,0.895109891891479,1.05833840370178,1.22729444503784,1.41300415992737,1.59071493148804,1.75975108146667,1061.37561035156
"35",2000,1000,"adam",10,16,"cuda",FALSE,500,16,FALSE,3.84351468086243,7.64644813537598,11.4316613674164,15.3525497913361,19.3594636917114,23.171706199646,27.0104637145996,30.9938976764679,35.3109092712402,39.7008969783783,92.3463745117188
"36",2000,1000,"sgd",10,16,"cuda",FALSE,500,16,FALSE,1.3470892906189,2.62272119522095,3.8533992767334,5.13553905487061,6.5510425567627,8.05930209159851,9.39263796806335,10.7543864250183,12.1750731468201,13.6222145557404,695.620971679688
"37",2000,1000,"adam",10,1024,"cuda",TRUE,2000,4,FALSE,0.21509313583374,0.714826345443726,0.738534688949585,0.762336730957031,0.785149812698364,0.808196783065796,0.831457138061523,0.854279756546021,0.879606008529663,0.903149604797363,44.2705383300781
"38",2000,1000,"sgd",10,1024,"cuda",TRUE,2000,4,FALSE,0.154052257537842,0.639583826065063,0.658328533172607,0.677372694015503,0.696743011474609,0.71548056602478,0.734843730926514,0.753610134124756,0.772930383682251,0.791695117950439,947.19091796875
"39",2000,1000,"adam",10,128,"cuda",TRUE,2000,4,FALSE,0.850177526473999,1.0056734085083,1.1524224281311,1.29117798805237,1.42472958564758,1.56360554695129,1.69663500785828,1.85583806037903,1.99618935585022,2.13119411468506,268.280975341797
"40",2000,1000,"sgd",10,128,"cuda",TRUE,2000,4,FALSE,0.629098892211914,0.675838947296143,0.727590084075928,0.773134708404541,0.819480180740356,0.872390270233154,0.918026924133301,0.962830066680908,1.01406216621399,1.05830240249634,1031.73266601562
"41",2000,1000,"adam",10,16,"cuda",TRUE,2000,4,FALSE,1.74444389343262,2.8680408000946,3.97438073158264,5.09540438652039,6.24233984947205,7.51432394981384,8.66232466697693,9.80516314506531,10.9006390571594,12.0338475704193,439.54541015625
"42",2000,1000,"sgd",10,16,"cuda",TRUE,2000,4,FALSE,1.01757287979126,1.4238543510437,1.84583306312561,2.28658223152161,2.70026874542236,3.11444211006165,3.52732944488525,3.93922352790833,4.35358238220215,4.76921129226685,147.118194580078
"43",2000,1000,"adam",10,1024,"cuda",FALSE,2000,4,FALSE,0.142348527908325,0.16658616065979,0.191987037658691,0.215063333511353,0.237993001937866,0.261258363723755,0.407720565795898,0.426448345184326,0.445495367050171,0.465354442596436,44.2699928283691
"44",2000,1000,"sgd",10,1024,"cuda",FALSE,2000,4,FALSE,0.0846645832061768,0.0992786884307861,0.118572473526001,0.138267517089844,0.157570362091064,0.176741600036621,0.195634841918945,0.215096712112427,0.234729290008545,0.253948211669922,947.19091796875
"45",2000,1000,"adam",10,128,"cuda",FALSE,2000,4,FALSE,0.312010049819946,0.461864948272705,0.610589027404785,0.759397506713867,0.909697771072388,1.06107378005981,1.20721292495728,1.36515069007874,1.51034092903137,1.66200065612793,284.925537109375
"46",2000,1000,"sgd",10,128,"cuda",FALSE,2000,4,FALSE,0.161821126937866,0.232339859008789,0.28898811340332,0.359226942062378,0.426060199737549,0.482297897338867,0.544976949691772,0.599995374679565,0.655555009841919,0.718039751052856,688.4052734375
"47",2000,1000,"adam",10,16,"cuda",FALSE,2000,4,FALSE,1.30598020553589,2.45686769485474,3.63333749771118,4.91273236274719,6.10243964195251,7.31870746612549,8.43778514862061,9.61145162582397,10.7719738483429,11.9866371154785,395.06005859375
"48",2000,1000,"sgd",10,16,"cuda",FALSE,2000,4,FALSE,0.549962759017944,1.01363945007324,1.47617173194885,1.95898652076721,2.41453552246094,2.85912370681763,3.28355860710144,3.70274329185486,4.13070631027222,4.59204053878784,209.176879882812
"49",2000,1000,"adam",10,1024,"cuda",TRUE,1000,4,FALSE,0.182268619537354,0.683017492294312,0.699930191040039,0.718974590301514,0.736500263214111,0.753344297409058,0.770433187484741,0.786990642547607,0.808961391448975,0.824630260467529,99.1700439453125
"50",2000,1000,"sgd",10,1024,"cuda",TRUE,1000,4,FALSE,0.141846418380737,0.626265048980713,0.632768869400024,0.639900922775269,0.646245956420898,0.653003692626953,0.659279584884644,0.665721893310547,0.672575712203979,0.678816795349121,947.286010742188
"51",2000,1000,"adam",10,128,"cuda",TRUE,1000,4,FALSE,0.7402503490448,0.879419565200806,1.01268196105957,1.14569735527039,1.2786180973053,1.41323518753052,1.54625058174133,1.69802141189575,1.83349275588989,1.96791505813599,457.07958984375
