"n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","loss","time","se","torchoptx","lang"
2000,1000,"sgd",20,32,"cpu",FALSE,1000,16,1079.57238769531,2.68226467479359,0.050739982669324,TRUE,"R"
2000,1000,"adam",20,32,"cpu",FALSE,1000,16,823.092163085938,4.15350144559687,0.0560090787140701,TRUE,"R"
2000,1000,"sgd",20,32,"cuda",FALSE,1000,16,695.126770019531,0.552352970296686,0.00391319852059404,TRUE,"R"
2000,1000,"adam",20,32,"cuda",FALSE,1000,16,167.681350708008,0.670335552909157,0.00591260230083614,TRUE,"R"
2000,1000,"sgd",20,32,"cpu",FALSE,1000,16,1079.57238769531,2.69957100261341,0.0193965056886974,FALSE,"R"
2000,1000,"adam",20,32,"cpu",FALSE,1000,16,823.092163085938,6.29897173968228,0.0602734788798484,FALSE,"R"
2000,1000,"sgd",20,32,"cuda",FALSE,1000,16,695.126770019531,0.818626902320168,0.00922574573009156,FALSE,"R"
2000,1000,"adam",20,32,"cuda",FALSE,1000,16,167.681350708008,1.9692870053378,0.0184855637372342,FALSE,"R"
2000,1000,"sgd",20,32,"cpu",FALSE,1000,32,1079.521484375,4.923119133169,0.0727170626145229,TRUE,"R"
2000,1000,"adam",20,32,"cpu",FALSE,1000,32,1079.71496582031,7.9408392906189,0.0879217981034867,TRUE,"R"
2000,1000,"sgd",20,32,"cuda",FALSE,1000,32,695.138916015625,1.0173821666024,0.0105594882588777,TRUE,"R"
2000,1000,"adam",20,32,"cuda",FALSE,1000,32,694.422668457031,1.17117868770253,0.0120649448251904,TRUE,"R"
2000,1000,"sgd",20,32,"cpu",FALSE,1000,32,1079.521484375,5.58465979316018,0.0239242380692128,FALSE,"R"
2000,1000,"adam",20,32,"cpu",FALSE,1000,32,1079.71496582031,12.4317510778254,0.0944614106351055,FALSE,"R"
2000,1000,"sgd",20,32,"cuda",FALSE,1000,32,695.138916015625,1.36728050492027,0.0136159367903057,FALSE,"R"
2000,1000,"adam",20,32,"cuda",FALSE,1000,32,694.422668457031,3.71997386758978,0.039513454655529,FALSE,"R"
