"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"1",2000,500,"adam",20,16,"cpu",TRUE,100,1,TRUE,12.1639134883881
"2",2000,500,"sgd",20,16,"cpu",TRUE,100,1,TRUE,5.84671187400818
"3",2000,500,"adam",20,256,"cpu",TRUE,100,1,TRUE,1.21124815940857
"4",2000,500,"sgd",20,256,"cpu",TRUE,100,1,TRUE,0.731823205947876
"5",2000,500,"adam",20,512,"cpu",TRUE,100,1,TRUE,0.794184684753418
"6",2000,500,"sgd",20,512,"cpu",TRUE,100,1,TRUE,0.528822898864746
"7",2000,500,"adam",20,16,"cuda",TRUE,100,1,TRUE,11.2632026672363
"8",2000,500,"sgd",20,16,"cuda",TRUE,100,1,TRUE,6.17067837715149
"9",2000,500,"adam",20,256,"cuda",TRUE,100,1,TRUE,1.31354141235352
"10",2000,500,"sgd",20,256,"cuda",TRUE,100,1,TRUE,0.948764085769653
"11",2000,500,"adam",20,512,"cuda",TRUE,100,1,TRUE,0.964358329772949
"12",2000,500,"sgd",20,512,"cuda",TRUE,100,1,TRUE,0.772108554840088
"13",2000,500,"adam",20,16,"cpu",FALSE,100,1,TRUE,12.4515347480774
"14",2000,500,"sgd",20,16,"cpu",FALSE,100,1,TRUE,6.02531766891479
"15",2000,500,"adam",20,256,"cpu",FALSE,100,1,TRUE,1.00482273101807
"16",2000,500,"sgd",20,256,"cpu",FALSE,100,1,TRUE,0.544077634811401
"17",2000,500,"adam",20,512,"cpu",FALSE,100,1,TRUE,0.621806621551514
"18",2000,500,"sgd",20,512,"cpu",FALSE,100,1,TRUE,0.385214328765869
"19",2000,500,"adam",20,16,"cuda",FALSE,100,1,TRUE,11.0080151557922
"20",2000,500,"sgd",20,16,"cuda",FALSE,100,1,TRUE,5.95451498031616
"21",2000,500,"adam",20,256,"cuda",FALSE,100,1,TRUE,0.820219278335571
"22",2000,500,"sgd",20,256,"cuda",FALSE,100,1,TRUE,0.462599515914917
"23",2000,500,"adam",20,512,"cuda",FALSE,100,1,TRUE,0.489582538604736
"24",2000,500,"sgd",20,512,"cuda",FALSE,100,1,TRUE,0.307093620300293
"25",2000,500,"adam",20,16,"cpu",TRUE,1000,1,TRUE,18.1346395015717
"26",2000,500,"sgd",20,16,"cpu",TRUE,1000,1,TRUE,10.9894046783447
"27",2000,500,"adam",20,256,"cpu",TRUE,1000,1,TRUE,2.26797342300415
"28",2000,500,"sgd",20,256,"cpu",TRUE,1000,1,TRUE,1.5849883556366
"29",2000,500,"adam",20,512,"cpu",TRUE,1000,1,TRUE,1.13581132888794
"30",2000,500,"sgd",20,512,"cpu",TRUE,1000,1,TRUE,0.862005710601807
"31",2000,500,"adam",20,16,"cuda",TRUE,1000,1,TRUE,11.6854145526886
"32",2000,500,"sgd",20,16,"cuda",TRUE,1000,1,TRUE,6.13429689407349
"33",2000,500,"adam",20,256,"cuda",TRUE,1000,1,TRUE,1.25852370262146
"34",2000,500,"sgd",20,256,"cuda",TRUE,1000,1,TRUE,0.918750047683716
"35",2000,500,"adam",20,512,"cuda",TRUE,1000,1,TRUE,0.90113091468811
"36",2000,500,"sgd",20,512,"cuda",TRUE,1000,1,TRUE,0.720392227172852
