"n","p","epochs","batch_size","device","jit","latent","n_layers","Python","R","ratio"
2000,100,20,16,"cpu",FALSE,100,1,2.35138869285583,10.3721718788147,4.41108350581433
2000,100,20,16,"cpu",FALSE,100,5,4.76843667030334,25.3600776195526,5.31832115491623
2000,100,20,16,"cpu",FALSE,100,10,8.10554838180542,46.0012612342834,5.67528056923857
2000,100,20,16,"cpu",FALSE,500,1,2.68127870559692,13.3091683387756,4.96373924538092
2000,100,20,16,"cpu",FALSE,500,5,10.9943058490753,44.0667734146118,4.00814512708122
2000,100,20,16,"cpu",FALSE,500,10,22.5307760238647,87.2059707641602,3.87052672627836
2000,100,20,16,"cpu",FALSE,1000,1,2.89328575134277,13.4242072105408,4.63977925592404
2000,100,20,16,"cpu",FALSE,1000,5,21.3108077049255,68.3930876255035,3.20931466195417
2000,100,20,16,"cpu",FALSE,1000,10,71.5343148708344,142.44767332077,1.99131946084869
2000,100,20,16,"cpu",TRUE,100,1,2.12053346633911,10.2079226970673,4.81384654338432
2000,100,20,16,"cpu",TRUE,100,5,4.54199075698853,24.0888895988464,5.30359723030745
2000,100,20,16,"cpu",TRUE,100,10,7.87073421478271,42.3536167144775,5.38115194322398
2000,100,20,16,"cpu",TRUE,500,1,2.70755791664124,14.5964465141296,5.39100065945651
2000,100,20,16,"cpu",TRUE,500,5,14.1926918029785,63.4883286952972,4.47331130532781
2000,100,20,16,"cpu",TRUE,500,10,29.1178333759308,140.806685686111,4.8357542221017
2000,100,20,16,"cpu",TRUE,1000,1,2.93894386291504,13.7496511936188,4.67843274147502
2000,100,20,16,"cpu",TRUE,1000,5,49.1876096725464,153.361798763275,3.11789492891078
2000,100,20,16,"cpu",TRUE,1000,10,74.1652693748474,411.304044961929,5.54577699816755
2000,100,20,16,"cuda",FALSE,100,1,2.73748660087585,11.148585319519,4.07256251627023
2000,100,20,16,"cuda",FALSE,100,5,4.35001158714294,25.0146820545197,5.75048630409492
2000,100,20,16,"cuda",FALSE,100,10,6.13160705566406,44.2895195484161,7.22315033340301
2000,100,20,16,"cuda",FALSE,500,1,2.7306125164032,10.2437953948975,3.75146430823176
2000,100,20,16,"cuda",FALSE,500,5,4.5213041305542,29.9785106182098,6.63050079193305
2000,100,20,16,"cuda",FALSE,500,10,6.43093585968018,46.9840643405914,7.3059451012668
2000,100,20,16,"cuda",FALSE,1000,1,2.74325609207153,10.842812538147,3.95253384089241
2000,100,20,16,"cuda",FALSE,1000,5,4.64382028579712,25.3767874240875,5.46463598122026
2000,100,20,16,"cuda",FALSE,1000,10,6.73163986206055,44.9863882064819,6.6828275321181
2000,100,20,16,"cuda",TRUE,100,1,2.72061443328857,10.8481636047363,3.98739471201858
2000,100,20,16,"cuda",TRUE,100,5,4.17596650123596,23.3283171653748,5.58632765815298
2000,100,20,16,"cuda",TRUE,100,10,5.86581873893738,39.9168939590454,6.80499956367157
