"n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","time_Python","time_R","loss_Python","loss_R","time_se_Python","time_se_R","n_batches"
2000,1000,"adam",5,16,"cuda",FALSE,500,1,0.779754519462585,4.93105801343918,15.2008790969849,15.1658935546875,0.0322362950069826,0.37546760335145,625
2000,1000,"adam",5,16,"cuda",FALSE,500,4,1.30350232124329,17.0202035069466,29.8398590087891,31.3691711425781,0.0717696596619795,7.39874293685753,625
2000,1000,"adam",5,16,"cuda",FALSE,500,16,3.4158823132515,32.7635933637619,242.801391601562,92.3463745117188,0.291974407693992,1.97250671169608,625
2000,1000,"adam",5,16,"cuda",FALSE,1000,1,0.810148870944977,5.30861477851868,46.1469764709473,46.0752983093262,0.0443899850655436,0.738969021380558,625
2000,1000,"adam",5,16,"cuda",FALSE,1000,4,1.35247195959091,17.1108376502991,27.6414566040039,31.307315826416,0.0973805397851777,7.53293991126355,625
2000,1000,"adam",5,16,"cuda",FALSE,1000,16,3.8173436164856,31.7564227342606,789.434204101562,65.9109497070312,0.292424805896525,1.49088007653116,625
2000,1000,"adam",5,16,"cuda",FALSE,2000,1,0.79940128326416,5.46811771392822,97.6315307617188,97.1663970947266,0.0629404633178446,0.986606224894045,625
2000,1000,"adam",5,16,"cuda",FALSE,2000,4,2.52772371768951,12.1707421779633,336.304809570312,395.06005859375,0.0317741935501128,2.53462308769442,625
2000,1000,"adam",5,16,"cuda",FALSE,2000,16,11.6850197553635,66.3444185018539,690.896484375,327.808837890625,0.247094242059301,0.495339877841886,625
2000,1000,"adam",5,16,"cuda",TRUE,500,1,0.80334107875824,5.28744676113129,15.2008790969849,15.1738796234131,0.0422724117254738,0.355194183922215,625
2000,1000,"adam",5,16,"cuda",TRUE,500,4,1.28887388706207,15.2523710489273,29.8398590087891,33.8510246276855,0.0806351297978498,5.96241886909402,625
2000,1000,"adam",5,16,"cuda",TRUE,500,16,3.23044109344482,31.017845082283,242.801391601562,95.2766799926758,0.255843240402952,2.03558268200179,625
2000,1000,"adam",5,16,"cuda",TRUE,1000,1,0.743584501743317,9.21809849739075,46.1469764709473,45.5419311523438,0.0332780070361026,4.32193463552987,625
2000,1000,"adam",5,16,"cuda",TRUE,1000,4,1.24899525642395,9.880835211277,27.6414566040039,38.2723541259766,0.0746797090521714,0.407198845557383,625
2000,1000,"adam",5,16,"cuda",TRUE,1000,16,3.64456886053085,30.6716162204743,789.434204101562,71.3684844970703,0.309405645681497,2.09230555317387,625
2000,1000,"adam",5,16,"cuda",TRUE,2000,1,0.788373076915741,6.59558166265488,97.6315307617188,96.964485168457,0.0910438179980527,1.73565814343872,625
2000,1000,"adam",5,16,"cuda",TRUE,2000,4,2.49666650295258,15.0843381404877,336.304809570312,439.54541015625,0.0338836202939627,5.17893944502873,625
2000,1000,"adam",5,16,"cuda",TRUE,2000,16,11.4425985813141,71.9731197834015,690.896484375,689.584716796875,0.281208952868474,7.54785022902542,625
2000,1000,"adam",5,128,"cuda",FALSE,500,1,0.10437194108963,0.745930922031402,0.813278377056122,0.813300132751465,0.00440416518330216,0.0698941864349935,80
2000,1000,"adam",5,128,"cuda",FALSE,500,4,0.159134781360626,2.22175629138946,40.6950988769531,40.7118949890137,0.00310401470661374,0.892034925685114,80
2000,1000,"adam",5,128,"cuda",FALSE,500,16,0.431292641162872,4.5867546916008,197.581176757812,469.155181884766,0.02145094133274,0.612389357811524,80
2000,1000,"adam",5,128,"cuda",FALSE,1000,1,0.0988515377044678,0.859604299068451,0.0734594464302063,0.0734588876366615,0.00216642451982355,0.156601568365333,80
2000,1000,"adam",5,128,"cuda",FALSE,1000,4,0.155996310710907,1.4041237950325,463.374572753906,459.990631103516,0.00279717404339729,0.0687810995257855,80
2000,1000,"adam",5,128,"cuda",FALSE,1000,16,0.523253917694092,4.20772851705551,762.450622558594,593.432373046875,0.00800017478155206,0.329180029226913,80
2000,1000,"adam",5,128,"cuda",FALSE,2000,1,0.100067710876465,0.981441390514375,0.00302681373432279,0.00302672246471047,0.002735206823585,0.284113656430907,80
2000,1000,"adam",5,128,"cuda",FALSE,2000,4,0.351948392391205,2.05847378969192,892.262512207031,284.925537109375,0.00571608835830769,0.674421497841836,80
2000,1000,"adam",5,128,"cuda",FALSE,2000,16,1.72761002779007,8.45950031280518,511.053131103516,989.791625976562,0.0311457452898819,0.109199383444011,80
2000,1000,"adam",5,128,"cuda",TRUE,500,1,0.101570701599121,1.28638010025024,0.813278377056122,0.813300430774689,0.00265525516410737,0.105971848572179,80
2000,1000,"adam",5,128,"cuda",TRUE,500,4,0.157210600376129,3.11480549573898,40.6950988769531,40.3842964172363,0.00522387587588036,1.40713986206073,80
2000,1000,"adam",5,128,"cuda",TRUE,500,16,0.37018209695816,4.27782672643661,197.581176757812,255.293258666992,0.0128697101730104,0.0823164924883302,80
2000,1000,"adam",5,128,"cuda",TRUE,1000,1,0.101370298862457,1.60956782102585,0.0734594464302063,0.0734589323401451,0.00527987911000706,0.423603748670848,80
