"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time1","time2","loss"
"1",2000,500,"adam",20,16,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"2",2000,500,"sgd",20,16,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"3",2000,500,"adam",40,16,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"4",2000,500,"sgd",40,16,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"5",2000,500,"adam",20,256,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"6",2000,500,"sgd",20,256,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"7",2000,500,"adam",40,256,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"8",2000,500,"sgd",40,256,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"9",2000,500,"adam",20,512,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"10",2000,500,"sgd",20,512,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"11",2000,500,"adam",40,512,"cpu",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"12",2000,500,"sgd",40,512,"cpu",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"13",2000,500,"adam",20,16,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"14",2000,500,"sgd",20,16,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"15",2000,500,"adam",40,16,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"16",2000,500,"sgd",40,16,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"17",2000,500,"adam",20,256,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"18",2000,500,"sgd",20,256,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"19",2000,500,"adam",40,256,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"20",2000,500,"sgd",40,256,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"21",2000,500,"adam",20,512,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"22",2000,500,"sgd",20,512,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"23",2000,500,"adam",40,512,"cuda",TRUE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"24",2000,500,"sgd",40,512,"cuda",TRUE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"25",2000,500,"adam",20,16,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"26",2000,500,"sgd",20,16,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"27",2000,500,"adam",40,16,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"28",2000,500,"sgd",40,16,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"29",2000,500,"adam",20,256,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"30",2000,500,"sgd",20,256,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"31",2000,500,"adam",40,256,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"32",2000,500,"sgd",40,256,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"33",2000,500,"adam",20,512,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"34",2000,500,"sgd",20,512,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"35",2000,500,"adam",40,512,"cpu",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"36",2000,500,"sgd",40,512,"cpu",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"37",2000,500,"adam",20,16,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"38",2000,500,"sgd",20,16,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"39",2000,500,"adam",40,16,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"40",2000,500,"sgd",40,16,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"41",2000,500,"adam",20,256,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"42",2000,500,"sgd",20,256,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"43",2000,500,"adam",40,256,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"44",2000,500,"sgd",40,256,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"45",2000,500,"adam",20,512,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"46",2000,500,"sgd",20,512,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"47",2000,500,"adam",40,512,"cuda",FALSE,100,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"48",2000,500,"sgd",40,512,"cuda",FALSE,100,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"49",2000,500,"adam",20,16,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"50",2000,500,"sgd",20,16,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"51",2000,500,"adam",40,16,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"52",2000,500,"sgd",40,16,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"53",2000,500,"adam",20,256,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"54",2000,500,"sgd",20,256,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"55",2000,500,"adam",40,256,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"56",2000,500,"sgd",40,256,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"57",2000,500,"adam",20,512,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"58",2000,500,"sgd",20,512,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"59",2000,500,"adam",40,512,"cpu",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"60",2000,500,"sgd",40,512,"cpu",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"61",2000,500,"adam",20,16,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"62",2000,500,"sgd",20,16,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"63",2000,500,"adam",40,16,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"64",2000,500,"sgd",40,16,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"65",2000,500,"adam",20,256,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"66",2000,500,"sgd",20,256,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"67",2000,500,"adam",40,256,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"68",2000,500,"sgd",40,256,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"69",2000,500,"adam",20,512,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"70",2000,500,"sgd",20,512,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"71",2000,500,"adam",40,512,"cuda",TRUE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"72",2000,500,"sgd",40,512,"cuda",TRUE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"73",2000,500,"adam",20,16,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"74",2000,500,"sgd",20,16,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"75",2000,500,"adam",40,16,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"76",2000,500,"sgd",40,16,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"77",2000,500,"adam",20,256,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"78",2000,500,"sgd",20,256,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"79",2000,500,"adam",40,256,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"80",2000,500,"sgd",40,256,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"81",2000,500,"adam",20,512,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"82",2000,500,"sgd",20,512,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"83",2000,500,"adam",40,512,"cpu",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"84",2000,500,"sgd",40,512,"cpu",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"85",2000,500,"adam",20,16,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"86",2000,500,"sgd",20,16,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"87",2000,500,"adam",40,16,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"88",2000,500,"sgd",40,16,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"89",2000,500,"adam",20,256,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"90",2000,500,"sgd",20,256,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"91",2000,500,"adam",40,256,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"92",2000,500,"sgd",40,256,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"93",2000,500,"adam",20,512,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"94",2000,500,"sgd",20,512,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"95",2000,500,"adam",40,512,"cuda",FALSE,1000,1,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"96",2000,500,"sgd",40,512,"cuda",FALSE,1000,1,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"97",2000,500,"adam",20,16,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"98",2000,500,"sgd",20,16,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"99",2000,500,"adam",40,16,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"100",2000,500,"sgd",40,16,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"101",2000,500,"adam",20,256,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"102",2000,500,"sgd",20,256,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"103",2000,500,"adam",40,256,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"104",2000,500,"sgd",40,256,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"105",2000,500,"adam",20,512,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"106",2000,500,"sgd",20,512,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"107",2000,500,"adam",40,512,"cpu",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"108",2000,500,"sgd",40,512,"cpu",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"109",2000,500,"adam",20,16,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"110",2000,500,"sgd",20,16,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"111",2000,500,"adam",40,16,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"112",2000,500,"sgd",40,16,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"113",2000,500,"adam",20,256,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"114",2000,500,"sgd",20,256,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"115",2000,500,"adam",40,256,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"116",2000,500,"sgd",40,256,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"117",2000,500,"adam",20,512,"cuda",TRUE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"118",2000,500,"sgd",20,512,"cuda",TRUE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
