"","n","p","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"81",2000,500,20,256,"cpu",TRUE,1000,1,FALSE,2.21935653686523
"82",2000,100,20,16,"cuda",TRUE,1000,1,FALSE,10.6885812282562
"83",2000,250,20,16,"cuda",TRUE,1000,1,FALSE,10.5963053703308
"84",2000,500,20,16,"cuda",TRUE,1000,1,FALSE,10.8142447471619
"85",2000,100,20,128,"cuda",TRUE,1000,1,FALSE,1.84703946113586
"86",2000,250,20,128,"cuda",TRUE,1000,1,FALSE,1.83583760261536
"87",2000,500,20,128,"cuda",TRUE,1000,1,FALSE,1.82686686515808
"88",2000,100,20,256,"cuda",TRUE,1000,1,FALSE,1.17138719558716
"89",2000,250,20,256,"cuda",TRUE,1000,1,FALSE,1.18152761459351
"90",2000,500,20,256,"cuda",TRUE,1000,1,FALSE,1.17428636550903
"91",2000,100,20,16,"cpu",FALSE,1000,1,FALSE,13.4242072105408
"92",2000,250,20,16,"cpu",FALSE,1000,1,FALSE,14.5399615764618
"93",2000,500,20,16,"cpu",FALSE,1000,1,FALSE,17.1440479755402
"94",2000,100,20,128,"cpu",FALSE,1000,1,FALSE,2.22649073600769
"95",2000,250,20,128,"cpu",FALSE,1000,1,FALSE,2.47978973388672
"96",2000,500,20,128,"cpu",FALSE,1000,1,FALSE,3.7723286151886
"97",2000,100,20,256,"cpu",FALSE,1000,1,FALSE,1.31007742881775
"98",2000,250,20,256,"cpu",FALSE,1000,1,FALSE,1.41483592987061
"99",2000,500,20,256,"cpu",FALSE,1000,1,FALSE,1.9355194568634
"100",2000,100,20,16,"cuda",FALSE,1000,1,FALSE,10.842812538147
"101",2000,250,20,16,"cuda",FALSE,1000,1,FALSE,10.6507799625397
"102",2000,500,20,16,"cuda",FALSE,1000,1,FALSE,10.5602395534515
"103",2000,100,20,128,"cuda",FALSE,1000,1,FALSE,1.77183365821838
"104",2000,250,20,128,"cuda",FALSE,1000,1,FALSE,1.53009152412415
"105",2000,500,20,128,"cuda",FALSE,1000,1,FALSE,1.43007016181946
"106",2000,100,20,256,"cuda",FALSE,1000,1,FALSE,0.781278610229492
"107",2000,250,20,256,"cuda",FALSE,1000,1,FALSE,0.78659725189209
