n,p,epochs,batch_size,device,jit,latent,n_layers,time
2000,100,20,16,cpu,True,100,1,2.1205334663391113
2000,100,20,16,cpu,True,100,5,4.541990756988525
2000,100,20,16,cpu,True,100,10,7.870734214782715
2000,100,20,16,cpu,True,500,1,2.7075579166412354
2000,100,20,16,cpu,True,500,5,14.192691802978516
2000,100,20,16,cpu,True,500,10,29.117833375930786
2000,100,20,16,cpu,True,1000,1,2.938943862915039
2000,100,20,16,cpu,True,1000,5,49.18760967254639
2000,100,20,16,cpu,True,1000,10,74.16526937484741
2000,100,20,16,cpu,False,100,1,2.351388692855835
2000,100,20,16,cpu,False,100,5,4.768436670303345
2000,100,20,16,cpu,False,100,10,8.10554838180542
2000,100,20,16,cpu,False,500,1,2.681278705596924
2000,100,20,16,cpu,False,500,5,10.994305849075317
2000,100,20,16,cpu,False,500,10,22.530776023864746
2000,100,20,16,cpu,False,1000,1,2.8932857513427734
2000,100,20,16,cpu,False,1000,5,21.310807704925537
2000,100,20,16,cpu,False,1000,10,71.53431487083435
2000,100,20,16,cuda,True,100,1,2.720614433288574
2000,100,20,16,cuda,True,100,5,4.175966501235962
2000,100,20,16,cuda,True,100,10,5.865818738937378
2000,100,20,16,cuda,True,500,1,2.7405927181243896
2000,100,20,16,cuda,True,500,5,4.392800331115723
2000,100,20,16,cuda,True,500,10,6.181166648864746
2000,100,20,16,cuda,True,1000,1,2.7577691078186035
2000,100,20,16,cuda,True,1000,5,4.553676128387451
2000,100,20,16,cuda,True,1000,10,6.391809463500977
2000,100,20,16,cuda,False,100,1,2.7374866008758545
2000,100,20,16,cuda,False,100,5,4.350011587142944
2000,100,20,16,cuda,False,100,10,6.1316070556640625
2000,100,20,16,cuda,False,500,1,2.7306125164031982
2000,100,20,16,cuda,False,500,5,4.521304130554199
2000,100,20,16,cuda,False,500,10,6.430935859680176
2000,100,20,16,cuda,False,1000,1,2.743256092071533
2000,100,20,16,cuda,False,1000,5,4.643820285797119
2000,100,20,16,cuda,False,1000,10,6.731639862060547
2000,100,20,128,cpu,True,100,1,0.5077164173126221
2000,100,20,128,cpu,True,100,5,1.0450043678283691
2000,100,20,128,cpu,True,100,10,1.3021516799926758
2000,100,20,128,cpu,True,500,1,0.5781745910644531
2000,100,20,128,cpu,True,500,5,1.7088274955749512
2000,100,20,128,cpu,True,500,10,3.192307710647583
2000,100,20,128,cpu,True,1000,1,0.5935463905334473
2000,100,20,128,cpu,True,1000,5,3.2835934162139893
2000,100,20,128,cpu,True,1000,10,7.101618051528931
2000,100,20,128,cpu,False,100,1,0.49358177185058594
2000,100,20,128,cpu,False,100,5,0.8467006683349609
2000,100,20,128,cpu,False,100,10,1.2681198120117188
2000,100,20,128,cpu,False,500,1,0.5761830806732178
2000,100,20,128,cpu,False,500,5,1.6898887157440186
2000,100,20,128,cpu,False,500,10,3.114537239074707
2000,100,20,128,cpu,False,1000,1,0.5927138328552246
2000,100,20,128,cpu,False,1000,5,3.172422409057617
2000,100,20,128,cpu,False,1000,10,7.473513841629028
2000,100,20,128,cuda,True,100,1,0.541515588760376
2000,100,20,128,cuda,True,100,5,0.7240073680877686
2000,100,20,128,cuda,True,100,10,0.9314150810241699
2000,100,20,128,cuda,True,500,1,0.5581841468811035
2000,100,20,128,cuda,True,500,5,0.7469205856323242
2000,100,20,128,cuda,True,500,10,0.9563374519348145
2000,100,20,128,cuda,True,1000,1,0.5657551288604736
2000,100,20,128,cuda,True,1000,5,0.7486293315887451
2000,100,20,128,cuda,True,1000,10,0.9609649181365967
2000,100,20,128,cuda,False,100,1,0.5659472942352295
2000,100,20,128,cuda,False,100,5,0.7478563785552979
2000,100,20,128,cuda,False,100,10,0.9579792022705078
2000,100,20,128,cuda,False,500,1,0.5699570178985596
2000,100,20,128,cuda,False,500,5,0.7686233520507812
2000,100,20,128,cuda,False,500,10,1.0109171867370605
2000,100,20,128,cuda,False,1000,1,0.5750699043273926
2000,100,20,128,cuda,False,1000,5,0.7698488235473633
2000,100,20,128,cuda,False,1000,10,1.0150561332702637
2000,100,20,256,cpu,True,100,1,0.35779404640197754
2000,100,20,256,cpu,True,100,5,0.558424711227417
2000,100,20,256,cpu,True,100,10,0.79311203956604
2000,100,20,256,cpu,True,500,1,0.3914923667907715
2000,100,20,256,cpu,True,500,5,1.1891281604766846
2000,100,20,256,cpu,True,500,10,1.9976863861083984
2000,100,20,256,cpu,True,1000,1,0.4157981872558594
2000,100,20,256,cpu,True,1000,5,2.172029733657837
2000,100,20,256,cpu,True,1000,10,4.579238414764404
2000,100,20,256,cpu,False,100,1,0.3625185489654541
2000,100,20,256,cpu,False,100,5,0.6542279720306396
2000,100,20,256,cpu,False,100,10,0.8134243488311768
2000,100,20,256,cpu,False,500,1,0.40075206756591797
2000,100,20,256,cpu,False,500,5,1.088179588317871
2000,100,20,256,cpu,False,500,10,2.00531268119812
2000,100,20,256,cpu,False,1000,1,0.4288218021392822
2000,100,20,256,cpu,False,1000,5,2.3445513248443604
2000,100,20,256,cpu,False,1000,10,4.638110160827637
2000,100,20,256,cuda,True,100,1,0.38207507133483887
2000,100,20,256,cuda,True,100,5,0.4766073226928711
2000,100,20,256,cuda,True,100,10,0.5863361358642578
2000,100,20,256,cuda,True,500,1,0.39116764068603516
2000,100,20,256,cuda,True,500,5,0.5597567558288574
2000,100,20,256,cuda,True,500,10,0.5932960510253906
2000,100,20,256,cuda,True,1000,1,0.3883180618286133
2000,100,20,256,cuda,True,1000,5,0.4794738292694092
2000,100,20,256,cuda,True,1000,10,0.5852725505828857
2000,100,20,256,cuda,False,100,1,0.46477246284484863
2000,100,20,256,cuda,False,100,5,0.48426008224487305
2000,100,20,256,cuda,False,100,10,0.6034181118011475
2000,100,20,256,cuda,False,500,1,0.39043331146240234
2000,100,20,256,cuda,False,500,5,0.48639845848083496
2000,100,20,256,cuda,False,500,10,0.6101937294006348
2000,100,20,256,cuda,False,1000,1,0.46170735359191895
2000,100,20,256,cuda,False,1000,5,0.486539363861084
2000,100,20,256,cuda,False,1000,10,0.6068789958953857
2000,250,20,16,cpu,True,100,1,2.507615804672241
2000,250,20,16,cpu,True,100,5,4.816651105880737
2000,250,20,16,cpu,True,100,10,7.75692892074585
2000,250,20,16,cpu,True,500,1,2.808243751525879
2000,250,20,16,cpu,True,500,5,11.113801956176758
2000,250,20,16,cpu,True,500,10,22.160085201263428
2000,250,20,16,cpu,True,1000,1,3.264364242553711
2000,250,20,16,cpu,True,1000,5,21.859647035598755
2000,250,20,16,cpu,True,1000,10,49.528918743133545
2000,250,20,16,cpu,False,100,1,2.505585193634033
2000,250,20,16,cpu,False,100,5,4.874163866043091
2000,250,20,16,cpu,False,100,10,8.052114009857178
2000,250,20,16,cpu,False,500,1,2.8096134662628174
2000,250,20,16,cpu,False,500,5,11.016549587249756
2000,250,20,16,cpu,False,500,10,22.125495195388794
2000,250,20,16,cpu,False,1000,1,3.2334237098693848
2000,250,20,16,cpu,False,1000,5,21.34109354019165
2000,250,20,16,cpu,False,1000,10,49.515809535980225
2000,250,20,16,cuda,True,100,1,1.9228825569152832
2000,250,20,16,cuda,True,100,5,2.992403030395508
2000,250,20,16,cuda,True,100,10,4.312704563140869
2000,250,20,16,cuda,True,500,1,1.909733772277832
2000,250,20,16,cuda,True,500,5,3.163642406463623
2000,250,20,16,cuda,True,500,10,4.689204692840576
2000,250,20,16,cuda,True,1000,1,2.022845506668091
2000,250,20,16,cuda,True,1000,5,3.305723190307617
2000,250,20,16,cuda,True,1000,10,5.460998773574829
2000,250,20,16,cuda,False,100,1,1.9159228801727295
2000,250,20,16,cuda,False,100,5,3.0926740169525146
2000,250,20,16,cuda,False,100,10,4.694688320159912
2000,250,20,16,cuda,False,500,1,1.928497552871704
2000,250,20,16,cuda,False,500,5,3.2933666706085205
2000,250,20,16,cuda,False,500,10,5.1084747314453125
2000,250,20,16,cuda,False,1000,1,2.0272014141082764
2000,250,20,16,cuda,False,1000,5,3.404242515563965
2000,250,20,16,cuda,False,1000,10,5.525845289230347
2000,250,20,128,cpu,True,100,1,0.5119309425354004
2000,250,20,128,cpu,True,100,5,0.8449785709381104
2000,250,20,128,cpu,True,100,10,1.2801589965820312
2000,250,20,128,cpu,True,500,1,0.6029608249664307
2000,250,20,128,cpu,True,500,5,1.7930731773376465
2000,250,20,128,cpu,True,500,10,3.3162214756011963
2000,250,20,128,cpu,True,1000,1,0.6868786811828613
2000,250,20,128,cpu,True,1000,5,3.6488049030303955
2000,250,20,128,cpu,True,1000,10,7.195258617401123
2000,250,20,128,cpu,False,100,1,0.5207958221435547
2000,250,20,128,cpu,False,100,5,0.8684477806091309
2000,250,20,128,cpu,False,100,10,1.2797961235046387
2000,250,20,128,cpu,False,500,1,0.6151914596557617
2000,250,20,128,cpu,False,500,5,1.7690794467926025
2000,250,20,128,cpu,False,500,10,3.3416967391967773
2000,250,20,128,cpu,False,1000,1,0.6494977474212646
2000,250,20,128,cpu,False,1000,5,3.3022215366363525
2000,250,20,128,cpu,False,1000,10,7.336989164352417
2000,250,20,128,cuda,True,100,1,0.4794316291809082
2000,250,20,128,cuda,True,100,5,0.6100640296936035
2000,250,20,128,cuda,True,100,10,0.7773196697235107
2000,250,20,128,cuda,True,500,1,0.46797847747802734
2000,250,20,128,cuda,True,500,5,0.6247913837432861
2000,250,20,128,cuda,True,500,10,0.8104145526885986
2000,250,20,128,cuda,True,1000,1,0.48045897483825684
2000,250,20,128,cuda,True,1000,5,0.6316051483154297
2000,250,20,128,cuda,True,1000,10,0.8111789226531982
2000,250,20,128,cuda,False,100,1,0.47604823112487793
2000,250,20,128,cuda,False,100,5,0.6239032745361328
2000,250,20,128,cuda,False,100,10,0.8096966743469238
2000,250,20,128,cuda,False,500,1,0.4821650981903076
2000,250,20,128,cuda,False,500,5,0.6414322853088379
2000,250,20,128,cuda,False,500,10,0.8419888019561768
2000,250,20,128,cuda,False,1000,1,0.4779853820800781
2000,250,20,128,cuda,False,1000,5,0.6491897106170654
2000,250,20,128,cuda,False,1000,10,0.8462257385253906
2000,250,20,256,cpu,True,100,1,0.39218974113464355
2000,250,20,256,cpu,True,100,5,0.5932247638702393
2000,250,20,256,cpu,True,100,10,0.9654085636138916
2000,250,20,256,cpu,True,500,1,0.45254063606262207
2000,250,20,256,cpu,True,500,5,1.1466326713562012
2000,250,20,256,cpu,True,500,10,2.12056303024292
2000,250,20,256,cpu,True,1000,1,0.48126697540283203
2000,250,20,256,cpu,True,1000,5,2.314378261566162
2000,250,20,256,cpu,True,1000,10,4.728790283203125
2000,250,20,256,cpu,False,100,1,0.4021732807159424
2000,250,20,256,cpu,False,100,5,0.6060738563537598
2000,250,20,256,cpu,False,100,10,0.850149393081665
2000,250,20,256,cpu,False,500,1,0.4445796012878418
2000,250,20,256,cpu,False,500,5,1.149728536605835
2000,250,20,256,cpu,False,500,10,2.17057466506958
2000,250,20,256,cpu,False,1000,1,0.47298336029052734
2000,250,20,256,cpu,False,1000,5,2.3026540279388428
2000,250,20,256,cpu,False,1000,10,4.6735734939575195
2000,250,20,256,cuda,True,100,1,0.35370707511901855
2000,250,20,256,cuda,True,100,5,0.42264246940612793
2000,250,20,256,cuda,True,100,10,0.5839188098907471
2000,250,20,256,cuda,True,500,1,0.3448936939239502
2000,250,20,256,cuda,True,500,5,0.4217853546142578
2000,250,20,256,cuda,True,500,10,0.5102996826171875
2000,250,20,256,cuda,True,1000,1,0.34364748001098633
2000,250,20,256,cuda,True,1000,5,0.4231109619140625
2000,250,20,256,cuda,True,1000,10,0.5875997543334961
2000,250,20,256,cuda,False,100,1,0.3484654426574707
2000,250,20,256,cuda,False,100,5,0.4287533760070801
2000,250,20,256,cuda,False,100,10,0.5285415649414062
2000,250,20,256,cuda,False,500,1,0.3461189270019531
2000,250,20,256,cuda,False,500,5,0.4296135902404785
2000,250,20,256,cuda,False,500,10,0.526282548904419
2000,250,20,256,cuda,False,1000,1,0.4235079288482666
2000,250,20,256,cuda,False,1000,5,0.43454885482788086
2000,250,20,256,cuda,False,1000,10,0.5259931087493896
2000,500,20,16,cpu,True,100,1,2.711951494216919
2000,500,20,16,cpu,True,100,5,4.971508741378784
2000,500,20,16,cpu,True,100,10,7.938016176223755
2000,500,20,16,cpu,True,500,1,3.0262696743011475
2000,500,20,16,cpu,True,500,5,10.956432342529297
2000,500,20,16,cpu,True,500,10,22.44935965538025
2000,500,20,16,cpu,True,1000,1,3.2463462352752686
2000,500,20,16,cpu,True,1000,5,22.565996170043945
2000,500,20,16,cpu,True,1000,10,49.483277559280396
2000,500,20,16,cpu,False,100,1,2.6418159008026123
2000,500,20,16,cpu,False,100,5,5.026185989379883
2000,500,20,16,cpu,False,100,10,8.224080562591553
2000,500,20,16,cpu,False,500,1,3.0965523719787598
2000,500,20,16,cpu,False,500,5,11.36071228981018
2000,500,20,16,cpu,False,500,10,22.713693141937256
2000,500,20,16,cpu,False,1000,1,3.2635550498962402
2000,500,20,16,cpu,False,1000,5,22.06415820121765
2000,500,20,16,cpu,False,1000,10,49.83608841896057
2000,500,20,16,cuda,True,100,1,1.9410667419433594
2000,500,20,16,cuda,True,100,5,3.030766248703003
2000,500,20,16,cuda,True,100,10,4.35829758644104
2000,500,20,16,cuda,True,500,1,2.0338549613952637
2000,500,20,16,cuda,True,500,5,3.199674129486084
2000,500,20,16,cuda,True,500,10,4.723809719085693
2000,500,20,16,cuda,True,1000,1,2.0357048511505127
2000,500,20,16,cuda,True,1000,5,3.3270761966705322
2000,500,20,16,cuda,True,1000,10,5.611014366149902
2000,500,20,16,cuda,False,100,1,1.94618558883667
2000,500,20,16,cuda,False,100,5,3.144651174545288
2000,500,20,16,cuda,False,100,10,4.963163375854492
2000,500,20,16,cuda,False,500,1,2.039005994796753
2000,500,20,16,cuda,False,500,5,3.340362071990967
2000,500,20,16,cuda,False,500,10,5.1898932456970215
2000,500,20,16,cuda,False,1000,1,2.0508062839508057
2000,500,20,16,cuda,False,1000,5,3.4614360332489014
2000,500,20,16,cuda,False,1000,10,5.601790428161621
