"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"73",2000,500,"adam",20,16,"cpu",FALSE,1000,1,FALSE,17.3228042125702
"74",2000,500,"sgd",20,16,"cpu",FALSE,1000,1,FALSE,9.22491359710693
"75",2000,500,"adam",40,16,"cpu",FALSE,1000,1,FALSE,33.2729341983795
"76",2000,500,"sgd",40,16,"cpu",FALSE,1000,1,FALSE,18.0081532001495
"77",2000,500,"adam",20,256,"cpu",FALSE,1000,1,FALSE,1.92047524452209
"78",2000,500,"sgd",20,256,"cpu",FALSE,1000,1,FALSE,1.41390109062195
"79",2000,500,"adam",40,256,"cpu",FALSE,1000,1,FALSE,3.45216917991638
"80",2000,500,"sgd",40,256,"cpu",FALSE,1000,1,FALSE,2.48643922805786
"81",2000,500,"adam",20,512,"cpu",FALSE,1000,1,FALSE,1.12439179420471
"82",2000,500,"sgd",20,512,"cpu",FALSE,1000,1,FALSE,0.84455680847168
"83",2000,500,"adam",40,512,"cpu",FALSE,1000,1,FALSE,2.03173446655273
"84",2000,500,"sgd",40,512,"cpu",FALSE,1000,1,FALSE,1.53098464012146
"85",2000,500,"adam",20,16,"cuda",FALSE,1000,1,FALSE,10.7155089378357
"86",2000,500,"sgd",20,16,"cuda",FALSE,1000,1,FALSE,5.27496743202209
"87",2000,500,"adam",40,16,"cuda",FALSE,1000,1,FALSE,21.078230381012
"88",2000,500,"sgd",40,16,"cuda",FALSE,1000,1,FALSE,11.1611840724945
"89",2000,500,"adam",20,256,"cuda",FALSE,1000,1,FALSE,0.766085863113403
"90",2000,500,"sgd",20,256,"cuda",FALSE,1000,1,FALSE,0.442003726959229
"91",2000,500,"adam",40,256,"cuda",FALSE,1000,1,FALSE,1.44860315322876
"92",2000,500,"sgd",40,256,"cuda",FALSE,1000,1,FALSE,0.76945972442627
"93",2000,500,"adam",20,512,"cuda",FALSE,1000,1,FALSE,0.468949317932129
"94",2000,500,"sgd",20,512,"cuda",FALSE,1000,1,FALSE,0.271885395050049
"95",2000,500,"adam",40,512,"cuda",FALSE,1000,1,FALSE,0.771385192871094
"96",2000,500,"sgd",40,512,"cuda",FALSE,1000,1,FALSE,0.451957941055298
"97",2000,500,"adam",20,16,"cpu",TRUE,100,10,FALSE,49.5621018409729
"98",2000,500,"sgd",20,16,"cpu",TRUE,100,10,FALSE,12.4096853733063
"99",2000,500,"adam",40,16,"cpu",TRUE,100,10,FALSE,96.8277397155762
"100",2000,500,"sgd",40,16,"cpu",TRUE,100,10,FALSE,24.0524876117706
"101",2000,500,"adam",20,256,"cpu",TRUE,100,10,FALSE,4.98167204856873
"102",2000,500,"sgd",20,256,"cpu",TRUE,100,10,FALSE,2.32942342758179
"103",2000,500,"adam",40,256,"cpu",TRUE,100,10,FALSE,8.63221406936646
