n,p,optimizer,epochs,batch_size,device,jit,latent,n_layers,time
2000,500,adam,20,16,cpu,True,100,1,2.7042808532714844
2000,500,adam,20,16,cpu,True,100,10,8.379936933517456
2000,500,adam,20,16,cpu,True,100,20,14.87372875213623
2000,500,adam,20,16,cpu,True,1000,1,3.268462657928467
2000,500,adam,20,16,cpu,True,1000,10,80.87658047676086
2000,500,adam,20,16,cpu,True,1000,20,149.63029527664185
2000,500,adam,20,16,cpu,False,100,1,2.6180572509765625
2000,500,adam,20,16,cpu,False,100,10,8.39944577217102
2000,500,adam,20,16,cpu,False,100,20,14.927085876464844
2000,500,adam,20,16,cpu,False,1000,1,3.1924233436584473
2000,500,adam,20,16,cpu,False,1000,10,74.12240648269653
2000,500,adam,20,16,cpu,False,1000,20,148.76823687553406
2000,500,adam,20,16,cuda,True,100,1,1.9438753128051758
2000,500,adam,20,16,cuda,True,100,10,4.396180629730225
2000,500,adam,20,16,cuda,True,100,20,7.482259511947632
2000,500,adam,20,16,cuda,True,1000,1,2.0578904151916504
2000,500,adam,20,16,cuda,True,1000,10,5.574293613433838
2000,500,adam,20,16,cuda,True,1000,20,12.545267343521118
2000,500,adam,20,16,cuda,False,100,1,1.9579672813415527
2000,500,adam,20,16,cuda,False,100,10,4.863079071044922
2000,500,adam,20,16,cuda,False,100,20,8.070633888244629
2000,500,adam,20,16,cuda,False,1000,1,2.0621681213378906
2000,500,adam,20,16,cuda,False,1000,10,5.59774374961853
2000,500,adam,20,16,cuda,False,1000,20,12.582393884658813
2000,500,adam,20,256,cpu,True,100,1,0.4299888610839844
2000,500,adam,20,256,cpu,True,100,10,1.004096269607544
2000,500,adam,20,256,cpu,True,100,20,1.3680851459503174
2000,500,adam,20,256,cpu,True,1000,1,0.5059850215911865
2000,500,adam,20,256,cpu,True,1000,10,5.035631418228149
2000,500,adam,20,256,cpu,True,1000,20,9.732393741607666
2000,500,adam,20,256,cpu,False,100,1,0.44068074226379395
2000,500,adam,20,256,cpu,False,100,10,0.9354169368743896
2000,500,adam,20,256,cpu,False,100,20,1.4769957065582275
2000,500,adam,20,256,cpu,False,1000,1,0.5010290145874023
2000,500,adam,20,256,cpu,False,1000,10,5.11336874961853
2000,500,adam,20,256,cpu,False,1000,20,9.911945581436157
2000,500,adam,20,256,cuda,True,100,1,0.3510172367095947
2000,500,adam,20,256,cuda,True,100,10,0.5160439014434814
2000,500,adam,20,256,cuda,True,100,20,0.7083041667938232
2000,500,adam,20,256,cuda,True,1000,1,0.4202594757080078
2000,500,adam,20,256,cuda,True,1000,10,0.5215475559234619
2000,500,adam,20,256,cuda,True,1000,20,1.0817863941192627
2000,500,adam,20,256,cuda,False,100,1,0.3501133918762207
2000,500,adam,20,256,cuda,False,100,10,0.5337259769439697
2000,500,adam,20,256,cuda,False,100,20,0.7392919063568115
2000,500,adam,20,256,cuda,False,1000,1,0.43677425384521484
2000,500,adam,20,256,cuda,False,1000,10,0.5392506122589111
2000,500,adam,20,256,cuda,False,1000,20,1.0762379169464111
2000,500,adam,20,512,cpu,True,100,1,0.3297760486602783
2000,500,adam,20,512,cpu,True,100,10,0.6331460475921631
2000,500,adam,20,512,cpu,True,100,20,1.0677714347839355
2000,500,adam,20,512,cpu,True,1000,1,0.40663862228393555
2000,500,adam,20,512,cpu,True,1000,10,3.6193151473999023
2000,500,adam,20,512,cpu,True,1000,20,7.111098289489746
2000,500,adam,20,512,cpu,False,100,1,0.33518123626708984
2000,500,adam,20,512,cpu,False,100,10,0.7318613529205322
2000,500,adam,20,512,cpu,False,100,20,0.9709806442260742
2000,500,adam,20,512,cpu,False,1000,1,0.4022653102874756
2000,500,adam,20,512,cpu,False,1000,10,3.5890684127807617
2000,500,adam,20,512,cpu,False,1000,20,7.267719507217407
2000,500,adam,20,512,cuda,True,100,1,0.2834763526916504
2000,500,adam,20,512,cuda,True,100,10,0.35854244232177734
2000,500,adam,20,512,cuda,True,100,20,0.4621744155883789
2000,500,adam,20,512,cuda,True,1000,1,0.3539590835571289
2000,500,adam,20,512,cuda,True,1000,10,0.364870548248291
2000,500,adam,20,512,cuda,True,1000,20,0.7076361179351807
2000,500,adam,20,512,cuda,False,100,1,0.3553938865661621
2000,500,adam,20,512,cuda,False,100,10,0.3701591491699219
2000,500,adam,20,512,cuda,False,100,20,0.4748375415802002
2000,500,adam,20,512,cuda,False,1000,1,0.27696728706359863
2000,500,adam,20,512,cuda,False,1000,10,0.4515845775604248
2000,500,adam,20,512,cuda,False,1000,20,0.7037222385406494
2000,500,adam,40,16,cpu,True,100,1,5.267135143280029
2000,500,adam,40,16,cpu,True,100,10,16.949995040893555
2000,500,adam,40,16,cpu,True,100,20,30.591508388519287
2000,500,adam,40,16,cpu,True,1000,1,6.296384572982788
2000,500,adam,40,16,cpu,True,1000,10,111.10883665084839
2000,500,adam,40,16,cpu,True,1000,20,217.7199740409851
2000,500,adam,40,16,cpu,False,100,1,5.256821155548096
2000,500,adam,40,16,cpu,False,100,10,17.272573947906494
2000,500,adam,40,16,cpu,False,100,20,31.67383313179016
2000,500,adam,40,16,cpu,False,1000,1,6.307064771652222
2000,500,adam,40,16,cpu,False,1000,10,105.56929016113281
2000,500,adam,40,16,cpu,False,1000,20,206.9756944179535
2000,500,adam,40,16,cuda,True,100,1,3.9054148197174072
2000,500,adam,40,16,cuda,True,100,10,8.81157374382019
2000,500,adam,40,16,cuda,True,100,20,15.101606845855713
2000,500,adam,40,16,cuda,True,1000,1,4.114802598953247
2000,500,adam,40,16,cuda,True,1000,10,11.184631586074829
2000,500,adam,40,16,cuda,True,1000,20,25.164551496505737
2000,500,adam,40,16,cuda,False,100,1,3.896116256713867
2000,500,adam,40,16,cuda,False,100,10,9.676719427108765
2000,500,adam,40,16,cuda,False,100,20,16.00773334503174
2000,500,adam,40,16,cuda,False,1000,1,4.108433723449707
2000,500,adam,40,16,cuda,False,1000,10,11.201804161071777
2000,500,adam,40,16,cuda,False,1000,20,25.19127130508423
2000,500,adam,40,256,cpu,True,100,1,0.9346578121185303
2000,500,adam,40,256,cpu,True,100,10,1.9193077087402344
2000,500,adam,40,256,cpu,True,100,20,2.7668936252593994
2000,500,adam,40,256,cpu,True,1000,1,1.0069093704223633
2000,500,adam,40,256,cpu,True,1000,10,10.385293245315552
2000,500,adam,40,256,cpu,True,1000,20,20.773034811019897
2000,500,adam,40,256,cpu,False,100,1,0.8418447971343994
2000,500,adam,40,256,cpu,False,100,10,1.9214856624603271
2000,500,adam,40,256,cpu,False,100,20,2.914217710494995
2000,500,adam,40,256,cpu,False,1000,1,0.9775190353393555
2000,500,adam,40,256,cpu,False,1000,10,10.34399962425232
2000,500,adam,40,256,cpu,False,1000,20,20.05486035346985
2000,500,adam,40,256,cuda,True,100,1,0.7035872936248779
2000,500,adam,40,256,cuda,True,100,10,1.1112592220306396
2000,500,adam,40,256,cuda,True,100,20,1.421332836151123
2000,500,adam,40,256,cuda,True,1000,1,0.6976466178894043
2000,500,adam,40,256,cuda,True,1000,10,1.115548849105835
2000,500,adam,40,256,cuda,True,1000,20,2.200089931488037
2000,500,adam,40,256,cuda,False,100,1,0.695958137512207
2000,500,adam,40,256,cuda,False,100,10,1.1412498950958252
2000,500,adam,40,256,cuda,False,100,20,1.4890727996826172
2000,500,adam,40,256,cuda,False,1000,1,0.6951384544372559
2000,500,adam,40,256,cuda,False,1000,10,1.1465721130371094
2000,500,adam,40,256,cuda,False,1000,20,2.196671485900879
2000,500,adam,40,512,cpu,True,100,1,0.6583597660064697
2000,500,adam,40,512,cpu,True,100,10,1.3194475173950195
2000,500,adam,40,512,cpu,True,100,20,2.0046305656433105
2000,500,adam,40,512,cpu,True,1000,1,0.9149987697601318
2000,500,adam,40,512,cpu,True,1000,10,7.742991924285889
2000,500,adam,40,512,cpu,True,1000,20,14.543596267700195
2000,500,adam,40,512,cpu,False,100,1,0.6556191444396973
2000,500,adam,40,512,cpu,False,100,10,1.3878324031829834
2000,500,adam,40,512,cpu,False,100,20,2.059149742126465
2000,500,adam,40,512,cpu,False,1000,1,0.8063957691192627
2000,500,adam,40,512,cpu,False,1000,10,7.440506935119629
2000,500,adam,40,512,cpu,False,1000,20,14.82517385482788
2000,500,adam,40,512,cuda,True,100,1,0.5513105392456055
2000,500,adam,40,512,cuda,True,100,10,0.8160381317138672
2000,500,adam,40,512,cuda,True,100,20,0.9195425510406494
2000,500,adam,40,512,cuda,True,1000,1,0.6275842189788818
2000,500,adam,40,512,cuda,True,1000,10,0.7271261215209961
2000,500,adam,40,512,cuda,True,1000,20,1.4849843978881836
2000,500,adam,40,512,cuda,False,100,1,0.5528919696807861
2000,500,adam,40,512,cuda,False,100,10,0.8155040740966797
2000,500,adam,40,512,cuda,False,100,20,0.9565062522888184
2000,500,adam,40,512,cuda,False,1000,1,0.5562996864318848
2000,500,adam,40,512,cuda,False,1000,10,0.8257551193237305
2000,500,adam,40,512,cuda,False,1000,20,1.4795963764190674
2000,500,sgd,20,16,cpu,True,100,1,1.7043488025665283
2000,500,sgd,20,16,cpu,True,100,10,3.805356740951538
2000,500,sgd,20,16,cpu,True,100,20,6.04387903213501
2000,500,sgd,20,16,cpu,True,1000,1,2.2295310497283936
2000,500,sgd,20,16,cpu,True,1000,10,22.03621792793274
2000,500,sgd,20,16,cpu,True,1000,20,47.5566291809082
2000,500,sgd,20,16,cpu,False,100,1,1.6917846202850342
2000,500,sgd,20,16,cpu,False,100,10,3.9940345287323
2000,500,sgd,20,16,cpu,False,100,20,6.4785802364349365
2000,500,sgd,20,16,cpu,False,1000,1,2.260530948638916
2000,500,sgd,20,16,cpu,False,1000,10,22.316807746887207
2000,500,sgd,20,16,cpu,False,1000,20,50.659143686294556
2000,500,sgd,20,16,cuda,True,100,1,1.5578076839447021
2000,500,sgd,20,16,cuda,True,100,10,3.6521027088165283
2000,500,sgd,20,16,cuda,True,100,20,6.510340929031372
2000,500,sgd,20,16,cuda,True,1000,1,1.658104419708252
2000,500,sgd,20,16,cuda,True,1000,10,4.105460166931152
2000,500,sgd,20,16,cuda,True,1000,20,7.26483154296875
2000,500,sgd,20,16,cuda,False,100,1,1.5582249164581299
2000,500,sgd,20,16,cuda,False,100,10,3.9574074745178223
2000,500,sgd,20,16,cuda,False,100,20,7.003944396972656
2000,500,sgd,20,16,cuda,False,1000,1,1.6607775688171387
2000,500,sgd,20,16,cuda,False,1000,10,4.453977108001709
2000,500,sgd,20,16,cuda,False,1000,20,7.892534971237183
2000,500,sgd,20,256,cpu,True,100,1,0.37566208839416504
2000,500,sgd,20,256,cpu,True,100,10,0.7175602912902832
2000,500,sgd,20,256,cpu,True,100,20,1.0449244976043701
2000,500,sgd,20,256,cpu,True,1000,1,0.4528036117553711
2000,500,sgd,20,256,cpu,True,1000,10,3.6052238941192627
2000,500,sgd,20,256,cpu,True,1000,20,9.025800943374634
2000,500,sgd,20,256,cpu,False,100,1,0.38060808181762695
2000,500,sgd,20,256,cpu,False,100,10,0.7085757255554199
2000,500,sgd,20,256,cpu,False,100,20,1.083249568939209
2000,500,sgd,20,256,cpu,False,1000,1,0.4580662250518799
2000,500,sgd,20,256,cpu,False,1000,10,3.985837697982788
2000,500,sgd,20,256,cpu,False,1000,20,9.068222522735596
2000,500,sgd,20,256,cuda,True,100,1,0.32780909538269043
2000,500,sgd,20,256,cuda,True,100,10,0.46759629249572754
2000,500,sgd,20,256,cuda,True,100,20,0.6385364532470703
2000,500,sgd,20,256,cuda,True,1000,1,0.31867194175720215
2000,500,sgd,20,256,cuda,True,1000,10,0.5481443405151367
2000,500,sgd,20,256,cuda,True,1000,20,0.640380859375
2000,500,sgd,20,256,cuda,False,100,1,0.3216366767883301
2000,500,sgd,20,256,cuda,False,100,10,0.47736358642578125
2000,500,sgd,20,256,cuda,False,100,20,0.6645116806030273
