"","n","p","optimizer","epochs","batch_size","device","type","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","loss"
"1",2000,1000,"sgd",20,32,"cuda","torchoptx",1000,2,FALSE,0.26356053352356,0.172265768051147,0.196507692337036,0.177315473556519,0.190552711486816,0.167800664901733,0.176442861557007,0.148638486862183,0.166583299636841,0.165514230728149,0.158026456832886,0.158144950866699,0.15868878364563,0.17912220954895,0.142685413360596,0.172987937927246,0.175947666168213,0.166146993637085,0.148631572723389,0.163050174713135,0.406655788421631
"2",2000,1000,"adam",20,32,"cuda","torchoptx",1000,2,FALSE,0.304629325866699,0.193431854248047,0.194154500961304,0.182746887207031,0.19556188583374,0.195146322250366,0.197596549987793,0.189133167266846,0.197840690612793,0.198571920394897,0.19606876373291,0.185691833496094,0.196285724639893,0.217924833297729,0.195743322372437,0.191128253936768,0.199217081069946,0.200983285903931,0.184694766998291,0.199640989303589,14.9132747650146
"3",2000,1000,"sgd",20,32,"sgd","torchoptx",1000,2,FALSE,1.09119915962219,0.589057922363281,0.581393003463745,0.461691617965698,0.538271903991699,0.493485450744629,0.636859178543091,0.436240911483765,0.45380425453186,0.59642481803894,0.615006685256958,0.450453042984009,0.490591764450073,0.655162811279297,0.642001867294312,0.768690824508667,0.600051641464233,0.653604507446289,0.733232021331787,0.540039539337158,0.0365463308990002
"4",2000,1000,"adam",20,32,"sgd","torchoptx",1000,2,FALSE,1.30464959144592,0.706772327423096,0.640649318695068,0.638484239578247,0.687782764434814,0.737854242324829,0.815275192260742,0.645399332046509,0.855374097824097,0.809506893157959,0.622655391693115,0.649017095565796,0.696304082870483,0.801663160324097,0.89032769203186,0.726774930953979,0.71803617477417,0.577834606170654,0.682183027267456,0.633561134338379,14.211841583252
"5",2000,1000,"sgd",20,32,"cuda","ignite",1000,2,FALSE,0.945863008499146,0.125318765640259,0.100473642349243,0.0997292995452881,0.102532625198364,0.0992434024810791,0.102731704711914,0.103993654251099,0.119875907897949,0.0979838371276855,0.101149320602417,0.102163314819336,0.101378202438354,0.0988116264343262,0.115939378738403,0.0994064807891846,0.0998821258544922,0.101292610168457,0.0975608825683594,0.100748062133789,0.406653076410294
"6",2000,1000,"adam",20,32,"cuda","ignite",1000,2,FALSE,0.952623128890991,0.136678218841553,0.126528263092041,0.119739055633545,0.120074987411499,0.121431589126587,0.121605157852173,0.12228798866272,0.138116121292114,0.121724843978882,0.126269817352295,0.119097471237183,0.119710445404053,0.117814064025879,0.137315511703491,0.121104001998901,0.120434999465942,0.120083570480347,0.119515657424927,0.119627237319946,14.9310474395752
"7",2000,1000,"sgd",20,32,"sgd","ignite",1000,2,FALSE,1.59415578842163,1.6935350894928,0.340891599655151,0.272726774215698,0.339850902557373,0.335989713668823,0.636089086532593,0.912539958953857,0.283990621566772,0.338470697402954,0.285341739654541,0.292126417160034,0.330790758132935,0.354511737823486,0.296443462371826,0.267502546310425,0.274264097213745,0.287165880203247,0.275608777999878,0.26963210105896,0.0365463308990002
"8",2000,1000,"adam",20,32,"sgd","ignite",1000,2,FALSE,1.34754061698914,1.43191266059875,0.670566320419312,0.965404272079468,0.72313928604126,0.658894538879395,0.415215969085693,0.456538915634155,0.418164253234863,0.416830778121948,0.397449016571045,0.387193441390991,0.422048807144165,0.414877653121948,0.401707172393799,0.428411483764648,0.409656286239624,0.434281349182129,0.418735504150391,0.413730382919312,14.211841583252
"9",2000,1000,"sgd",20,32,"cuda","torchoptx",1000,4,FALSE,0.305983543395996,0.187408924102783,0.188703060150146,0.189042091369629,0.186761856079102,0.185626268386841,0.191411018371582,0.190130710601807,0.189143896102905,0.207878828048706,0.227691650390625,0.218525409698486,0.215207576751709,0.213815689086914,0.256821870803833,0.206971406936646,0.225169658660889,0.205679178237915,0.203226566314697,0.205844163894653,609.470703125
"10",2000,1000,"adam",20,32,"cuda","torchoptx",1000,4,FALSE,0.403886079788208,0.261555671691895,0.259238719940186,0.257847309112549,0.271322250366211,0.279827117919922,0.290068864822388,0.263020992279053,0.297744274139404,0.296272754669189,0.251870632171631,0.252323865890503,0.254323959350586,0.258872985839844,0.2422194480896,0.247360706329346,0.241824626922607,0.243616342544556,0.245246410369873,0.246991395950317,93.2423095703125
