n,p,optimizer,epochs,batch_size,device,jit,latent,n_layers,loss,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
2000,1000,adam,10,1024,cpu,True,2000,16,1036.1839599609375,0.9972522258758545,1.8288421630859375,2.5935933589935303,3.424816608428955,4.166837692260742,4.890420913696289,5.615073919296265,6.353886842727661,7.049448490142822,7.754016399383545
2000,1000,adam,10,1024,cpu,True,2000,4,198.86343383789062,0.22518706321716309,0.4119274616241455,0.5928499698638916,0.7844419479370117,0.9681200981140137,1.130981683731079,1.3033816814422607,1.4637365341186523,1.6265449523925781,1.7916483879089355
2000,1000,adam,10,1024,cpu,True,2000,1,362.73883056640625,0.04585909843444824,0.07078123092651367,0.09624743461608887,0.12142539024353027,0.14521431922912598,0.16983318328857422,0.19681811332702637,0.22462892532348633,0.2476956844329834,0.2711527347564697
2000,1000,adam,10,1024,cpu,True,1000,16,1042.12451171875,0.2873857021331787,0.5434422492980957,0.8013322353363037,1.0895390510559082,1.3003149032592773,1.499044418334961,1.69500732421875,1.8930063247680664,2.1005778312683105,2.3017451763153076
2000,1000,adam,10,1024,cpu,True,1000,4,104.75885772705078,0.08011722564697266,0.13965630531311035,0.19826316833496094,0.25124597549438477,0.30762338638305664,0.35917067527770996,0.4126605987548828,0.46433496475219727,0.5175220966339111,0.5701675415039062
2000,1000,adam,10,1024,cpu,True,1000,1,592.3432006835938,0.03507280349731445,0.05193734169006348,0.06662583351135254,0.08311271667480469,0.09903264045715332,0.11480951309204102,0.12970614433288574,0.14658164978027344,0.16161012649536133,0.17704033851623535
2000,1000,adam,10,1024,cpu,True,500,16,663.14599609375,0.11094284057617188,0.1958777904510498,0.27717018127441406,0.355745792388916,0.4356236457824707,0.5306506156921387,0.6153945922851562,0.696291446685791,0.7755124568939209,0.85565185546875
2000,1000,adam,10,1024,cpu,True,500,4,91.85665130615234,0.03714179992675781,0.056781768798828125,0.07575488090515137,0.0946207046508789,0.11302423477172852,0.13181042671203613,0.15158438682556152,0.17186903953552246,0.19067764282226562,0.20937252044677734
2000,1000,adam,10,1024,cpu,True,500,1,748.2241821289062,0.02699875831604004,0.03450584411621094,0.040526628494262695,0.04783797264099121,0.05384325981140137,0.059693098068237305,0.06679129600524902,0.07386565208435059,0.0811004638671875,0.08706450462341309
2000,1000,adam,10,1024,cpu,False,2000,16,1036.1839599609375,0.9695379734039307,1.8407597541809082,2.584296703338623,3.3134384155273438,4.026707649230957,4.71295166015625,5.441736936569214,6.121706485748291,6.789015293121338,7.45825982093811
