"","n","p","optimizer","epochs","batch_size","device","type","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","loss"
"1",2000,1000,"adamw",20,32,"cuda","ignite",1000,2,FALSE,0.417722463607788,0.374668836593628,0.14613151550293,0.137443542480469,0.136040925979614,0.136403560638428,0.137762069702148,0.139218091964722,0.154610157012939,0.148969888687134,0.144414663314819,0.144096851348877,0.138851165771484,0.157917261123657,0.136673212051392,0.14131236076355,0.136797428131104,0.136251926422119,0.147900819778442,0.136723518371582,43.0750961303711
"2",2000,1000,"adamw",20,32,"cuda","free",1000,2,FALSE,0.42485785484314,0.209983825683594,0.203844785690308,0.210620164871216,0.219025611877441,0.214090347290039,0.206846952438354,0.228777885437012,0.215243577957153,0.213669300079346,0.216907978057861,0.210978031158447,0.213418006896973,0.221727848052979,0.212984800338745,0.212964773178101,0.21214747428894,0.214701652526855,0.21864652633667,0.216292142868042,43.0750961303711
"3",2000,1000,"adamw",20,32,"cuda","jit",1000,2,FALSE,0.476943492889404,0.38228964805603,0.14511513710022,0.134014844894409,0.141063928604126,0.139759540557861,0.143730640411377,0.135801076889038,0.141045331954956,0.142913818359375,0.133374929428101,0.145665407180786,0.140766382217407,0.142083406448364,0.141463041305542,0.136398315429688,0.156663417816162,0.13495922088623,0.149332284927368,0.148816585540771,43.0750961303711
"4",2000,1000,"adamw",20,32,"cuda","ignite",1000,4,FALSE,0.667850494384766,0.605553388595581,0.125188112258911,0.13556694984436,0.124255180358887,0.126442193984985,0.124330043792725,0.126233339309692,0.134721279144287,0.123680591583252,0.123099565505981,0.123753547668457,0.126442193984985,0.133760929107666,0.127100467681885,0.122455835342407,0.123600244522095,0.123878002166748,0.13152551651001,0.123304128646851,48.6703643798828
"5",2000,1000,"adamw",20,32,"cuda","free",1000,4,FALSE,0.517104148864746,0.289788961410522,0.306555032730103,0.290632486343384,0.295037031173706,0.297591686248779,0.297914743423462,0.29263710975647,0.303950071334839,0.293951511383057,0.321532726287842,0.294734716415405,0.30364203453064,0.295384168624878,0.310408353805542,0.300750970840454,0.306352376937866,0.301608324050903,0.307226419448853,0.306382417678833,48.6703643798828
"6",2000,1000,"adamw",20,32,"cuda","jit",1000,4,FALSE,0.747155904769897,0.652448177337646,0.160199642181396,0.163644790649414,0.169917345046997,0.158370971679688,0.164231538772583,0.159675121307373,0.164482355117798,0.158535718917847,0.164902687072754,0.169455766677856,0.158773899078369,0.167557954788208,0.179366827011108,0.158446788787842,0.166556835174561,0.162304639816284,0.167807102203369,0.159038782119751,48.6703643798828
"7",2000,1000,"adamw",20,32,"cuda","ignite",1000,8,FALSE,1.23162341117859,1.15283465385437,0.190094947814941,0.182624816894531,0.184568881988525,0.194137573242188,0.181906938552856,0.181117534637451,0.179116725921631,0.182480335235596,0.182675123214722,0.189702749252319,0.199470520019531,0.196524381637573,0.192123651504517,0.185497045516968,0.203151941299438,0.183314085006714,0.187217950820923,0.179774284362793,53.2648277282715
"8",2000,1000,"adamw",20,32,"cuda","free",1000,8,FALSE,0.669975280761719,0.467896223068237,0.460216045379639,0.461131572723389,0.470326662063599,0.463496208190918,0.495718002319336,0.468017578125,0.483996629714966,0.479822874069214,0.472604990005493,0.560863018035889,0.458316087722778,0.446682929992676,0.45049262046814,0.443909883499146,0.451587915420532,0.45215368270874,0.45461893081665,0.462366580963135,53.2648277282715
"9",2000,1000,"adamw",20,32,"cuda","jit",1000,8,FALSE,1.33220744132996,1.20909094810486,0.243932247161865,0.226370573043823,0.2342529296875,0.236092329025269,0.231157064437866,0.240541934967041,0.228535413742065,0.234511613845825,0.250783205032349,0.230242490768433,0.238270044326782,0.230281114578247,0.241234064102173,0.228384733200073,0.245874404907227,0.260540008544922,0.234345436096191,0.239879608154297,53.2648277282715
"10",2000,1000,"adamw",20,32,"cuda","ignite",1000,16,FALSE,2.40615582466125,2.25662088394165,0.363010883331299,0.328284978866577,0.323815822601318,0.329309940338135,0.330886840820312,0.339583873748779,0.326118469238281,0.323889970779419,0.325661659240723,0.326339960098267,0.335884094238281,0.328837871551514,0.334800958633423,0.326626062393188,0.328431606292725,0.343603134155273,0.326952934265137,0.325884103775024,122.347518920898
"11",2000,1000,"adamw",20,32,"cuda","free",1000,16,FALSE,1.08147358894348,0.862201452255249,0.895432949066162,0.873534440994263,0.893850088119507,0.891478776931763,0.949335813522339,0.836554050445557,0.834194183349609,0.831592798233032,0.845089673995972,0.843352079391479,0.884060621261597,0.858313798904419,0.867541790008545,0.873867988586426,0.859009981155396,0.855353593826294,0.865056753158569,0.879416704177856,122.347518920898
"12",2000,1000,"adamw",20,32,"cuda","jit",1000,16,FALSE,2.51404881477356,2.31010317802429,0.38693642616272,0.389669895172119,0.362754583358765,0.377261638641357,0.369803428649902,0.367745637893677,0.37608528137207,0.363998889923096,0.375220060348511,0.376063346862793,0.362808704376221,0.37430477142334,0.377898693084717,0.364894390106201,0.373259544372559,0.378413915634155,0.367113828659058,0.374724864959717,122.347518920898
