"","n","p","optimizer","epochs","batch_size","device","torchoptx","jit","latent","n_layers","init_max_memory","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","loss"
"1",2000,1000,"sgd",20,32,"cpu",TRUE,FALSE,1000,2,FALSE,0.990607023239136,0.377012491226196,0.413274526596069,0.390052080154419,0.414282321929932,0.4090576171875,0.409198760986328,0.450431823730469,0.42684531211853,0.583938837051392,0.429738759994507,0.339866638183594,0.341758251190186,0.370684862136841,0.400964975357056,0.410704135894775,0.413981437683105,0.436966180801392,0.554488897323608,0.469824075698853,0.0365463308990002
"2",2000,1000,"adam",20,32,"cpu",TRUE,FALSE,1000,2,FALSE,0.848754167556763,0.600352764129639,0.662042140960693,0.60802435874939,0.567042827606201,0.522686719894409,0.568732023239136,0.575126171112061,0.571255445480347,0.701910018920898,0.529338598251343,0.512119054794312,0.475934743881226,0.495141267776489,0.551262855529785,0.4670569896698,0.585409641265869,0.605920553207397,0.576556205749512,0.552619934082031,14.211841583252
"3",2000,1000,"sgd",20,32,"cuda",TRUE,FALSE,1000,2,FALSE,0.193453073501587,0.175850629806519,0.181207180023193,0.176447153091431,0.177719831466675,0.187970161437988,0.179933547973633,0.192466974258423,0.189631223678589,0.1797935962677,0.182733535766602,0.188915729522705,0.181211948394775,0.188440084457397,0.182001113891602,0.187985181808472,0.187487840652466,0.183250904083252,0.188019752502441,0.180687189102173,0.406655788421631
"4",2000,1000,"adam",20,32,"cuda",TRUE,FALSE,1000,2,FALSE,0.215873241424561,0.195768356323242,0.197887182235718,0.194595813751221,0.1941077709198,0.19853663444519,0.200162172317505,0.213112592697144,0.209526538848877,0.210617065429688,0.214196681976318,0.208211183547974,0.20286226272583,0.202250719070435,0.214502096176147,0.201000690460205,0.211617231369019,0.201623916625977,0.206328868865967,0.209643602371216,14.9132747650146
"5",2000,1000,"sgd",20,32,"cpu",FALSE,FALSE,1000,2,FALSE,0.675902366638184,0.395375490188599,0.400667190551758,0.423746109008789,0.414610385894775,0.401718139648438,0.424684286117554,0.420659780502319,0.459835290908813,0.429268360137939,0.403941869735718,0.399892568588257,0.400733709335327,0.404816627502441,0.427160501480103,0.412569284439087,0.408335447311401,0.405549764633179,0.407488107681274,0.406871795654297,0.0365463308990002
"6",2000,1000,"adam",20,32,"cpu",FALSE,FALSE,1000,2,FALSE,1.1494562625885,0.848983526229858,0.883712530136108,0.848088026046753,0.880843877792358,0.84102463722229,0.850305557250977,0.897141456604004,0.828951597213745,0.867808818817139,0.97400164604187,0.866258382797241,0.898406982421875,0.886749267578125,0.885107278823853,0.896391153335571,0.849091291427612,0.863565444946289,0.854296445846558,0.848282337188721,14.211841583252
"7",2000,1000,"sgd",20,32,"cuda",FALSE,FALSE,1000,2,FALSE,0.254510879516602,0.203198909759521,0.202084064483643,0.203285694122314,0.214300870895386,0.204701900482178,0.203745365142822,0.205628871917725,0.206569194793701,0.207836151123047,0.202753067016602,0.205314159393311,0.203259229660034,0.20755934715271,0.203928232192993,0.212080001831055,0.211841344833374,0.211879253387451,0.209235191345215,0.208384037017822,0.406655788421631
"8",2000,1000,"adam",20,32,"cuda",FALSE,FALSE,1000,2,FALSE,0.487974643707275,0.408628225326538,0.426040172576904,0.414777755737305,0.437509059906006,0.421318054199219,0.420016527175903,0.428206205368042,0.423676013946533,0.430975437164307,0.419359683990479,0.507396221160889,0.401880264282227,0.408241987228394,0.397586822509766,0.418486833572388,0.408468961715698,0.415646076202393,0.40896201133728,0.412432909011841,14.9132747650146
"9",2000,1000,"sgd",20,32,"cpu",TRUE,FALSE,1000,4,FALSE,1.45632123947144,1.34611392021179,1.49565887451172,1.27509665489197,1.52950859069824,1.40838289260864,1.18017792701721,0.840827703475952,1.0111231803894,0.690558195114136,0.65092658996582,0.654506683349609,0.609991788864136,0.709280014038086,1.18737387657166,1.12819647789001,1.10470867156982,1.06702971458435,0.91977858543396,0.867980718612671,766.943237304688
"10",2000,1000,"adam",20,32,"cpu",TRUE,FALSE,1000,4,FALSE,2.41060209274292,2.30144858360291,2.17310333251953,2.31157469749451,2.36668610572815,2.07805609703064,2.19464254379272,1.96426129341125,1.81377172470093,1.40592479705811,1.53067660331726,1.80432462692261,1.74969100952148,2.41188740730286,2.29553985595703,2.030024766922,2.31247687339783,2.16959095001221,1.9476101398468,2.05512809753418,81.7146224975586
